number,answer,question
1,4,依勞動檢查法之規定，中央主管機關公告宣導勞動檢查方針之時機，為年 度開始前幾個月為之？ ①3 ②4 ③5 ④6 。
2,2,事業單位對於勞動檢查之結果，依勞動檢查法規定，應於違規場所公告幾 日以上？ ①5 ②7 ③10 ④14 。
3,3,勞工因職業災害而致死亡，雇主應依勞動基準法規定給予罹災家屬幾個月 之平均工資死亡補償？ ①5 ②15 ③40 ④50 。
4,2,勞動基準法所稱之童工，係指下列何者？ ①未滿十五歲 ②十五歲以上未 滿十六歲 ③十六歲以上未滿十七歲 ④十七歲以上未滿十八歲 。
5,4,依機械設備器具安全資訊申報登錄辦法規定，申報者有因登錄產品瑕疵造 成重大傷害或危害者，中央主管機關應對產品安全資訊登錄，採取下列何 種處置？ ①註銷 ②退回 ③通知改善及補件 ④廢止 。
6,2,依勞動基準法規定，女工分娩前後，雇主應給予產假幾星期？ ①6 ②8 ③ 10 ④12 。
7,3,事業單位所聘僱外國人連續曠職幾日失去聯繫時，雇主應通報主管機關？  ①1 ②2 ③3 ④4 。
8,4,我國技能檢定及發證相關事宜，係規範於下列何者？ ①就業服務法 ②職 業安全衛生法 ③勞動檢查法 ④職業訓練法 。
9,1,勞工或雇主對於職業疾病經醫師診斷認有異議時，得檢附有關資料，向下 列何者申請認定？ ①直轄市、縣（市）主管機關 ②勞工保險監理委員會 ③ 該管勞動檢查機構 ④中央衛生主管機關 。
10,2,事業單位對勞動檢查機構所發檢查結果通知書有異議時，依勞動檢查法規 定應於通知書送達之次日起多少日內，以書面敘明理由向勞動檢查機構提 出？ ①7 ②10 ③15 ④30 。
11,3,高壓氣體類壓力容器 1 日之處理能力 1000 立方公尺之下列何種氣體之工 作場所，不屬於勞動檢查法所稱之危險性工作場所？ ①氧氣 ②有毒氣體  ③氮氣 ④可燃性氣體 。
12,3,下列何者屬職業安全衛生設施規則所稱之危險物？ ①毒性物質 ②劇毒物 質 ③可燃性氣體 ④腐蝕性物質 。
13,2,職業安全衛生法所定之身體檢查，於僱用勞工從事新工作時，為識別其工 作適性之檢查為下列何者？ ①健康檢查 ②體格檢查 ③特殊健康檢查 ④ 特定健康檢查 。
14,3,依職業安全衛生管理辦法規定，職業安全衛生委員會之任務為下列何者？  ①執行職業災害防止事項 ②執行定期或不定期巡視 ③協調、建議職業安 全衛生管理計畫 ④釐訂職業安全衛生管理計畫 。
15,4,依職業安全衛生法所處之罰鍰由下列何者執行？ ①司法機關 ②稅務機關  ③勞動檢查機構 ④主管機關 。
